exchange,symbol,name,tradingUnit,quoteUnit,contractMultiplier,minTick,tickValue,verification,userConfirmedAt,attachment
DCE,A,黄大豆1号,10 t/lot,CNY/t,10,1,10,community-baseline,2026-07-17,D:\codex\migrated-user-data\Desktop\DCE-CZCE-selected-contracts.xlsx
DCE,B,黄大豆2号,10 t/lot,CNY/t,10,1,10,community-baseline,2026-07-17,D:\codex\migrated-user-data\Desktop\DCE-CZCE-selected-contracts.xlsx
DCE,CS,玉米淀粉,10 t/lot,CNY/t,10,1,10,community-baseline,2026-07-17,D:\codex\migrated-user-data\Desktop\DCE-CZCE-selected-contracts.xlsx
DCE,M,豆粕,10 t/lot,CNY/t,10,1,10,community-baseline,2026-07-17,D:\codex\migrated-user-data\Desktop\DCE-CZCE-selected-contracts.xlsx
DCE,Y,豆油,10 t/lot,CNY/t,10,2,20,community-baseline,2026-07-17,D:\codex\migrated-user-data\Desktop\DCE-CZCE-selected-contracts.xlsx
DCE,P,棕榈油,10 t/lot,CNY/t,10,2,20,community-baseline,2026-07-17,D:\codex\migrated-user-data\Desktop\DCE-CZCE-selected-contracts.xlsx
DCE,RR,粳米,10 t/lot,CNY/t,10,1,10,community-baseline,2026-07-17,D:\codex\migrated-user-data\Desktop\DCE-CZCE-selected-contracts.xlsx
DCE,JD,鸡蛋,10 t/lot,CNY/500kg,20,1,20,community-baseline,2026-07-17,D:\codex\migrated-user-data\Desktop\DCE-CZCE-selected-contracts.xlsx
DCE,FB,纤维板,10 m3/lot,CNY/m3,10,0.05,0.5,community-baseline,2026-07-17,D:\codex\migrated-user-data\Desktop\DCE-CZCE-selected-contracts.xlsx
DCE,BB,胶合板,500 sheets/lot,CNY/sheet,500,0.05,25,community-baseline,2026-07-17,D:\codex\migrated-user-data\Desktop\DCE-CZCE-selected-contracts.xlsx
DCE,LG,原木,90 m3/lot,CNY/m3,90,0.5,45,community-baseline,2026-07-17,D:\codex\migrated-user-data\Desktop\DCE-CZCE-selected-contracts.xlsx
DCE,L,聚乙烯,5 t/lot,CNY/t,5,5,25,community-baseline,2026-07-17,D:\codex\migrated-user-data\Desktop\DCE-CZCE-selected-contracts.xlsx
DCE,V,聚氯乙烯,5 t/lot,CNY/t,5,5,25,community-baseline,2026-07-17,D:\codex\migrated-user-data\Desktop\DCE-CZCE-selected-contracts.xlsx
DCE,PP,聚丙烯,5 t/lot,CNY/t,5,1,5,community-baseline,2026-07-17,D:\codex\migrated-user-data\Desktop\DCE-CZCE-selected-contracts.xlsx
DCE,EG,乙二醇,10 t/lot,CNY/t,10,1,10,community-baseline,2026-07-17,D:\codex\migrated-user-data\Desktop\DCE-CZCE-selected-contracts.xlsx
DCE,EB,苯乙烯,5 t/lot,CNY/t,5,1,5,community-baseline,2026-07-17,D:\codex\migrated-user-data\Desktop\DCE-CZCE-selected-contracts.xlsx
DCE,PG,液化石油气,20 t/lot,CNY/t,20,1,20,community-baseline,2026-07-17,D:\codex\migrated-user-data\Desktop\DCE-CZCE-selected-contracts.xlsx
DCE,JM,焦煤,60 t/lot,CNY/t,60,0.5,30,community-baseline,2026-07-17,D:\codex\migrated-user-data\Desktop\DCE-CZCE-selected-contracts.xlsx
DCE,I,铁矿石,100 t/lot,CNY/t,100,0.5,50,community-baseline,2026-07-17,D:\codex\migrated-user-data\Desktop\DCE-CZCE-selected-contracts.xlsx
CZCE,WH,强麦,20 t/lot,CNY/t,20,1,20,community-baseline,2026-07-17,D:\codex\migrated-user-data\Desktop\DCE-CZCE-selected-contracts.xlsx
CZCE,RI,早籼稻,20 t/lot,CNY/t,20,1,20,community-baseline,2026-07-17,D:\codex\migrated-user-data\Desktop\DCE-CZCE-selected-contracts.xlsx
CZCE,LR,晚籼稻,20 t/lot,CNY/t,20,1,20,community-baseline,2026-07-17,D:\codex\migrated-user-data\Desktop\DCE-CZCE-selected-contracts.xlsx
CZCE,CY,棉纱,5 t/lot,CNY/t,5,5,25,community-baseline,2026-07-17,D:\codex\migrated-user-data\Desktop\DCE-CZCE-selected-contracts.xlsx
CZCE,OI,菜籽油,10 t/lot,CNY/t,10,2,20,community-baseline,2026-07-17,D:\codex\migrated-user-data\Desktop\DCE-CZCE-selected-contracts.xlsx
CZCE,RS,菜籽,10 t/lot,CNY/t,10,1,10,community-baseline,2026-07-17,D:\codex\migrated-user-data\Desktop\DCE-CZCE-selected-contracts.xlsx
CZCE,TA,PTA,5 t/lot,CNY/t,5,2,10,community-baseline,2026-07-17,D:\codex\migrated-user-data\Desktop\DCE-CZCE-selected-contracts.xlsx
CZCE,ZC,动力煤,100 t/lot,CNY/t,100,0.2,20,community-baseline,2026-07-17,D:\codex\migrated-user-data\Desktop\DCE-CZCE-selected-contracts.xlsx
CZCE,SF,硅铁,5 t/lot,CNY/t,5,2,10,community-baseline,2026-07-17,D:\codex\migrated-user-data\Desktop\DCE-CZCE-selected-contracts.xlsx
CZCE,UR,尿素,20 t/lot,CNY/t,20,1,20,community-baseline,2026-07-17,D:\codex\migrated-user-data\Desktop\DCE-CZCE-selected-contracts.xlsx
CZCE,PK,花生,5 t/lot,CNY/t,5,2,10,community-baseline,2026-07-17,D:\codex\migrated-user-data\Desktop\DCE-CZCE-selected-contracts.xlsx
CZCE,SH,烧碱,30 t/lot,CNY/t,30,1,30,community-baseline,2026-07-17,D:\codex\migrated-user-data\Desktop\DCE-CZCE-selected-contracts.xlsx
CZCE,PR,瓶片,5 t/lot,CNY/t,5,2,10,community-baseline,2026-07-17,D:\codex\migrated-user-data\Desktop\DCE-CZCE-selected-contracts.xlsx
